timestamp,type,severity,message,lat,lon
2025-10-27T18:20:55.251331,FloodRisk,LOW,Flood risk: score 0.31. Avg sensor 71.5 cm.,,
2025-10-27T18:20:55.808814,FloodRisk,LOW,Flood risk: score 0.32. Avg sensor 73.3 cm.,,
2025-10-27T18:20:56.309864,FloodRisk,LOW,Flood risk: score 0.32. Avg sensor 75.1 cm.,,
2025-10-27T18:20:56.842371,FloodRisk,LOW,Flood risk: score 0.33. Avg sensor 76.9 cm.,,
2025-10-27T18:20:57.366607,FloodRisk,LOW,Flood risk: score 0.33. Avg sensor 78.7 cm.,,
2025-10-27T18:20:57.889700,FloodRisk,LOW,Flood risk: score 0.34. Avg sensor 80.5 cm.,,
2025-10-27T18:20:58.407756,FloodRisk,LOW,Flood risk: score 0.34. Avg sensor 82.3 cm.,,
2025-10-27T18:20:58.907396,FloodRisk,LOW,Flood risk: score 0.35. Avg sensor 84.1 cm.,,
2025-10-27T18:20:59.389217,FloodRisk,LOW,Flood risk: score 0.35. Avg sensor 85.9 cm.,,
2025-10-27T18:20:59.885944,FloodRisk,LOW,Flood risk: score 0.36. Avg sensor 87.7 cm.,,
2025-10-27T18:21:00.391974,FloodRisk,LOW,Flood risk: score 0.36. Avg sensor 89.5 cm.,,
2025-10-27T18:21:00.958329,FloodRisk,LOW,Flood risk: score 0.37. Avg sensor 91.3 cm.,,
2025-10-27T18:21:01.551767,FloodRisk,LOW,Flood risk: score 0.38. Avg sensor 93.1 cm.,,
2025-10-27T18:21:02.094030,FloodRisk,HIGH,Flood risk: score 0.38. Avg sensor 94.9 cm.,,
2025-10-27T18:21:02.592204,FloodRisk,HIGH,Flood risk: score 0.39. Avg sensor 96.7 cm.,,
2025-10-27T18:21:03.108623,FloodRisk,HIGH,Flood risk: score 0.39. Avg sensor 98.5 cm.,,
2025-10-27T18:21:03.575390,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 100.3 cm.,,
2025-10-27T18:21:04.143734,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 102.1 cm.,,
2025-10-27T18:21:04.741166,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 103.9 cm.,,
2025-10-27T18:21:05.292095,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 105.7 cm.,,
2025-10-27T18:21:05.829538,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 107.5 cm.,,
2025-10-27T18:21:06.444488,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 109.3 cm.,,
2025-10-27T18:21:06.933902,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 111.1 cm.,,
2025-10-27T18:21:07.519862,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 112.9 cm.,,
2025-10-27T18:21:08.116556,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 114.7 cm.,,
2025-10-27T18:21:09.030647,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 116.5 cm.,,
2025-10-27T18:21:09.746106,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 118.3 cm.,,
2025-10-27T18:21:10.338967,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 120.1 cm.,,
2025-10-27T18:21:10.863777,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 121.9 cm.,,
2025-10-27T18:21:11.370176,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 123.7 cm.,,
2025-10-27T18:21:11.950642,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 125.5 cm.,,
2025-10-27T18:21:12.570328,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 127.3 cm.,,
2025-10-27T18:21:13.288044,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 129.1 cm.,,
2025-10-27T18:21:13.989448,FloodRisk,HIGH,Flood risk: score 0.40. Avg sensor 130.9 cm.,,
2025-10-27T18:21:14.693430,FloodRisk,HIGH,Flood risk: score 0.39. Avg sensor 132.3 cm.,,
2025-10-27T18:21:15.329868,FloodRisk,HIGH,Flood risk: score 0.39. Avg sensor 133.6 cm.,,
2025-10-27T18:21:16.036835,FloodRisk,HIGH,Flood risk: score 0.39. Avg sensor 134.9 cm.,,
2025-10-27T18:21:16.692009,FloodRisk,HIGH,Flood risk: score 0.39. Avg sensor 136.3 cm.,,
2025-10-27T18:21:17.514426,FloodRisk,HIGH,Flood risk: score 0.39. Avg sensor 137.6 cm.,,
2025-10-27T18:21:18.111354,FloodRisk,HIGH,Flood risk: score 0.39. Avg sensor 138.9 cm.,,
2025-10-27T18:21:18.707020,FloodRisk,HIGH,Flood risk: score 0.39. Avg sensor 140.2 cm.,,
